2026-04-24 16:49:48,368 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,398 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,399 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,399 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,399 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,430 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,431 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,431 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,431 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,462 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,463 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,463 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,463 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,494 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,495 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,495 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,495 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,526 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,526 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,527 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,527 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,557 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,558 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,558 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,559 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,589 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,590 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,590 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,591 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,621 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,622 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,622 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,622 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,653 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,654 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,654 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,654 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,685 | WARNING | core.logger_config | [CAMERA] cap is None
